"","country_area","year","agegroup","pop"
"720","Germany","2006","0-9",7471081
"721","Germany","2006","10-19",8871932
"722","Germany","2006","20-29",9736169
"723","Germany","2006","30-39",11440846
"724","Germany","2006","40-49",13639531
"725","Germany","2006","50-59",10639284
"726","Germany","2006","60-69",9901868
"727","Germany","2006","70-79",6923318
"728","Germany","2006","80-89",3155466
"729","Germany","2006","90-100",427925
"730","Germany","2007","0-9",7338153
"731","Germany","2007","10-19",8726042
"732","Germany","2007","20-29",9799814
"733","Germany","2007","30-39",10965676.5
"734","Germany","2007","40-49",13813973
"735","Germany","2007","50-59",10936259.5
"736","Germany","2007","60-69",9669037
"737","Germany","2007","70-79",7151427.5
"738","Germany","2007","80-89",3315426
"739","Germany","2007","90-100",550563
"740","Germany","2008","0-9",7271324
"741","Germany","2008","10-19",8653336
"742","Germany","2008","20-29",9832230
"743","Germany","2008","30-39",10743347
"744","Germany","2008","40-49",13884093
"745","Germany","2008","50-59",11063835
"746","Germany","2008","60-69",9574952
"747","Germany","2008","70-79",7267584
"748","Germany","2008","80-89",3394269
"749","Germany","2008","90-100",356229
"750","Germany","2009","0-9",7160169
"751","Germany","2009","10-19",8458567
"752","Germany","2009","20-29",9884031
"753","Germany","2009","30-39",10316213
"754","Germany","2009","40-49",13946945
"755","Germany","2009","50-59",11278687
"756","Germany","2009","60-69",9373288
"757","Germany","2009","70-79",7523344
"758","Germany","2009","80-89",3555729
"759","Germany","2009","90-100",320972
"760","Germany","2010","0-9",14074735
"761","Germany","2010","10-19",16475621.5
"762","Germany","2010","20-29",19842604
"763","Germany","2010","30-39",19867698.5
"764","Germany","2010","40-49",27694485
"765","Germany","2010","50-59",23063173.5
"766","Germany","2010","60-69",18297828.5
"767","Germany","2010","70-79",15838666.5
"768","Germany","2010","80-89",7331929
"769","Germany","2010","90-100",707889
"770","Germany","2011","0-9",27657923
