"","country_area","year","agegroup","pop"
"1500","United States of America","1997","0-9",38887993
"1501","United States of America","1997","10-19",38107588
"1502","United States of America","1997","20-29",36380447
"1503","United States of America","1997","30-39",43365547
"1504","United States of America","1997","40-49",39842873
"1505","United States of America","1997","50-59",26920233
"1506","United States of America","1997","60-69",19818263
"1507","United States of America","1997","70-79",15799461
"1508","United States of America","1997","80-89",7098001
"1509","United States of America","1997","90-100",1355583
"1510","United States of America","1998","0-9",38887000
"1511","United States of America","1998","10-19",38781135
"1512","United States of America","1998","20-29",36262248
"1513","United States of America","1998","30-39",42812080
"1514","United States of America","1998","40-49",40753440
"1515","United States of America","1998","50-59",28132428
"1516","United States of America","1998","60-69",19862558
"1517","United States of America","1998","70-79",16019803
"1518","United States of America","1998","80-89",7290048
"1519","United States of America","1998","90-100",1441076
"1520","United States of America","1999","0-9",38875184
"1521","United States of America","1999","10-19",39316272
"1522","United States of America","1999","20-29",36301425
"1523","United States of America","1999","30-39",42305955
"1524","United States of America","1999","40-49",41641094
"1525","United States of America","1999","50-59",29335148
"1526","United States of America","1999","60-69",19980099
"1527","United States of America","1999","70-79",16115798
"1528","United States of America","1999","80-89",7452454
"1529","United States of America","1999","90-100",1495187
"1530","United States of America","2000","0-9",79450606
"1531","United States of America","2000","10-19",81495924
"1532","United States of America","2000","20-29",76690674
"1533","United States of America","2000","30-39",86434104
"1534","United States of America","2000","40-49",85068534
"1535","United States of America","2000","50-59",62109570
"1536","United States of America","2000","60-69",40677984
"1537","United States of America","2000","70-79",32546508
"1538","United States of America","2000","80-89",15470370
"1539","United States of America","2000","90-100",2798630
"1540","United States of America","2002","0-9",4033719
"1541","United States of America","2003","0-9",4003606
"1542","United States of America","2004","0-9",39633404
"1543","United States of America","2004","10-19",41854816
"1544","United States of America","2004","20-29",40585111
"1545","United States of America","2004","30-39",41552450
"1546","United States of America","2004","40-49",45135556
"1547","United States of America","2004","50-59",36034042
"1548","United States of America","2004","60-69",22541978
"1549","United States of America","2004","70-79",15906299
"1550","United States of America","2004","80-89",8595948
"1551","United States of America","2004","90-100",1719330
"1552","United States of America","2005","0-9",39842517
"1553","United States of America","2005","10-19",41896732
"1554","United States of America","2005","20-29",41103562
"1555","United States of America","2005","30-39",41079164
"1556","United States of America","2005","40-49",45345033
"1557","United States of America","2005","50-59",37351420
"1558","United States of America","2005","60-69",23133307
"1559","United States of America","2005","70-79",15920182
"1560","United States of America","2005","80-89",8853052
"1561","United States of America","2005","90-100",1815331
"1562","United States of America","2006","0-9",40127523
"1563","United States of America","2006","10-19",41951583
"1564","United States of America","2006","20-29",41820720
"1565","United States of America","2006","30-39",40892284
"1566","United States of America","2006","40-49",45278734
"1567","United States of America","2006","50-59",38705050
"1568","United States of America","2006","60-69",23737792
"1569","United States of America","2006","70-79",15922317
"1570","United States of America","2006","80-89",9007122
"1571","United States of America","2006","90-100",1881685
"1572","United States of America","2007","0-9",40573753
"1573","United States of America","2007","10-19",41787999
"1574","United States of America","2007","20-29",42090102
"1575","United States of America","2007","30-39",40709680
"1576","United States of America","2007","40-49",44846202
"1577","United States of America","2007","50-59",39249646
"1578","United States of America","2007","60-69",25228258
"1579","United States of America","2007","70-79",15924590
"1580","United States of America","2007","80-89",9175174
"1581","United States of America","2007","90-100",1954982
"1582","United States of America","2008","0-9",41071101
"1583","United States of America","2008","10-19",41568985
"1584","United States of America","2008","20-29",42392724
"1585","United States of America","2008","30-39",40591603
"1586","United States of America","2008","40-49",44387223
"1587","United States of America","2008","50-59",40075636
"1588","United States of America","2008","60-69",26451418
"1589","United States of America","2008","70-79",16049422
"1590","United States of America","2008","80-89",9321821
"1591","United States of America","2008","90-100",2057664
"1592","United States of America","2009","0-9",41909290
"1593","United States of America","2009","10-19",41511401
"1594","United States of America","2009","20-29",43217278
"1595","United States of America","2009","30-39",40426954
"1596","United States of America","2009","40-49",43822697
"1597","United States of America","2009","50-59",40736417
"1598","United States of America","2009","60-69",27596243
"1599","United States of America","2009","70-79",16333275
"1600","United States of America","2009","80-89",9484731
"1601","United States of America","2009","90-100",1904240
"1602","United States of America","2010","0-9",81100038
"1603","United States of America","2010","10-19",85435074
"1604","United States of America","2010","20-29",85375696
"1605","United States of America","2010","30-39",80283482
"1606","United States of America","2010","40-49",87199110
"1607","United States of America","2010","50-59",83925860
"1608","United States of America","2010","60-69",58506374
"1609","United States of America","2010","70-79",33191922
"1610","United States of America","2010","80-89",18727572
"1611","United States of America","2010","90-100",3639220
"1612","United States of America","2012","0-9",40474880
"1613","United States of America","2012","10-19",42029920
"1614","United States of America","2012","20-29",43981529
"1615","United States of America","2012","30-39",40399194
"1616","United States of America","2012","40-49",42717700
"1617","United States of America","2012","50-59",43351776
"1618","United States of America","2012","60-69",31791038
"1619","United States of America","2012","70-79",17497622
"1620","United States of America","2012","80-89",9537904
"1621","United States of America","2012","90-100",2070492
"1622","United States of America","2015","0-9",40394457
"1623","United States of America","2015","10-19",41731233
"1624","United States of America","2015","20-29",45200867
"1625","United States of America","2015","30-39",42050233
"1626","United States of America","2015","40-49",41069042
"1627","United States of America","2015","50-59",44142259
"1628","United States of America","2015","60-69",35137345
"1629","United States of America","2015","70-79",19606882
"1630","United States of America","2015","80-89",9663686
"1631","United States of America","2015","90-100",2345842
"1632","United States of America","2016","0-9",40356836
"1633","United States of America","2016","10-19",41748232
"1634","United States of America","2016","20-29",45271912
"1635","United States of America","2016","30-39",42560264
"1636","United States of America","2016","40-49",40643874
"1637","United States of America","2016","50-59",43819164
"1638","United States of America","2016","60-69",36303119
"1639","United States of America","2016","70-79",20178142
"1640","United States of America","2016","80-89",9750861
"1641","United States of America","2016","90-100",2413213
"1642","United States of America","2017","0-9",40196904
"1643","United States of America","2017","10-19",41869126
"1644","United States of America","2017","20-29",45401839
"1645","United States of America","2017","30-39",43128897
"1646","United States of America","2017","40-49",40506938
"1647","United States of America","2017","50-59",43307485
"1648","United States of America","2017","60-69",36745009
"1649","United States of America","2017","70-79",21560211
"1650","United States of America","2017","80-89",9854879
"1651","United States of America","2017","90-100",2489049
"1652","United States of America","2018","0-9",40005917
"1653","United States of America","2018","10-19",41976748
"1654","United States of America","2018","20-29",45435335
"1655","United States of America","2018","30-39",43699605
"1656","United States of America","2018","40-49",40461436
"1657","United States of America","2018","50-59",42825549
"1658","United States of America","2018","60-69",37418544
"1659","United States of America","2018","70-79",22672489
"1660","United States of America","2018","80-89",10026303
"1661","United States of America","2018","90-100",2551581
